REGION,CLUSTER TYPE,AGE,GENDER,MARITAL STATUS,EDUCATION LEVEL,SOURCE OF INCOME,TYPE OF EMPLOYER,EMPLOYMENT STATUS,FINANCIAL LITERATE,STRUGGLE WITH EXPENSES,SERVICE USED FOR MANAGING MONEY,TYPE OF HEALTH INSTITUTION HE ATTENDS,AWARE OF INSURANCE SERVICES,DONT NEED INSURANCE,TARGET VARIABLE,ins3_1__1,ins3_1__2,ins3_1__3,ins3_1__4,ins3_1__5,ins3_1__6,ins3_1__7,ins3_1__8,ins3_1__9,ins3_1__10,ins3_1__11,ins3_1__12,ins3_1__13,ins3_1__14,ins3_1__15,ins3_1__16,ins3_1__17,ins3_1__18,SATISFIED WITH INSURANCE
Katavi,Urban,39,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,Yes,No, , , , , , , , , , , , , , , , , , , 
Songwe,Urban,48,Male,Married/living together,Primary completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,TRUE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,25,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Geita,Urban,53,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,44,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Pharmacy,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,30,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Pharmacy,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,43,Female,Divorced/separated,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Banks e.g,Private health care facility /consult private doctor,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,41,Female,Divorced/separated,No formal education,Social welfare money/grant from Government, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,55,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Urban,18,Male,Single/never married,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,27,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes
Rukwa,Urban,37,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,28,Female,Single/never married,Some University or other higher education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Bank agents e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,27,Female,Divorced/separated,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Iringa,Urban,44,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,TRUE,always,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,68,Male,Married/living together,University or higher education completed,Salaries/wages from regular job,Private formal registered business,Full-time throughout the year,TRUE,always,Banks e.g,Public health care facility,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Manyara,Urban,37,Female,Single/never married,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,50,Male,Widowed,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,sometimes, ,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Urban,26,Female,Married/living together,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Manyara,Urban,55,Female,Married/living together,Primary completed,Rely on someone else/others to give/send me money, , ,FALSE,often,Banks e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Urban,47,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Rukwa,Urban,28,Male,Married/living together,Some University or other higher education,Salaries/wages from regular job,Government,Part-time/Seasonally/Occasionally,TRUE,often,Banks e.g,Public health care facility,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Mara,Urban,66,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Singida,Urban,48,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Ruvuma,Urban,17,Female,Single/never married,Secondary competed-O level, , , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Urban,48,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Urban,69,Male,Married/living together,Secondary competed-O level,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Banks e.g,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Rukwa,Urban,65,Female,Married/living together,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,sometimes,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Dodoma,Rural,59,Male,Married/living together,Primary completed,Rental income, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Iringa,Rural,27,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Lindi,Rural,31,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,37,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,30,Female,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes, ,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,50,Female,Married/living together,Primary completed,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,46,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,always, ,Private health care facility /consult private doctor,No,Yes,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,60,Female,Widowed,No formal education,Rely on someone else/others to give/send me money, , ,FALSE,rarely,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),Yes,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,32,Female,Divorced/separated,No formal education,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Morogoro,Rural,61,Male,Married/living together,Some primary,Piece work/Casual labor/Occasional jobs, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,53,Male,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Bank agents e.g,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,55,Female,Widowed,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,sometimes,Mobile Money Agents,Public health care facility,Yes,Yes,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,39,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Simiyu,Rural,36,Female,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,28,Male,Married/living together,Some secondary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling,Private formal registered business,Full-time throughout the year,FALSE,sometimes,Mobile Money Agents,Private health care facility /consult private doctor,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Songwe,Rural,40,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Savings group Community microfinance groups (CMGs) /Vikundi vya jamii vya kukopeshana,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Singida,Rural,30,Male,Married/living together,Primary completed,Piece work/Casual labor/Occasional jobs, , ,TRUE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,35,Female,Single/never married,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Public health care facility,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Manyara,Rural,58,Male,Married/living together,No formal education,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Banks e.g,Public health care facility,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Ruvuma,Rural,49,Female,Widowed,Primary completed,Piece work/Casual labor/Occasional jobs, , ,FALSE,often, ,Private health care facility /consult private doctor,No,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,39,Male,Married/living together,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,rarely,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Dodoma,Rural,31,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,"Social groups e.g. Whatsapp groups, Tupendane, Mshikamano, Umoja",Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Tabora,Rural,30,Female,Married/living together,Primary completed,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,always,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Manyara,Rural,45,Female,Married/living together,No formal education,"Make own Money from providing a service – i.e. such as transport, hairdressing, processing, hospitality services (food", , ,FALSE,sometimes,Mobile Money Agents,Accredited drug dispensing outlets - Duka la Dawa Baridi (DLDB/ADDO),No,No,No, , , , , , , , , , , , , , , , , , , 
Njombe,Rural,66,Male,Widowed,Some primary,Make own Money from trading/selling :Anything you produce/grow/raise/make/collect with the intention of selling, , ,FALSE,often,Mobile Money Agents,Public health care facility,No,No,No, , , , , , , , , , , , , , , , , , , 
Mwanza,Rural,29,Female,Married/living together,Secondary competed-O level,Rely on someone else/others to give/send me money, , ,FALSE,always,Mobile Money Agents,Public health care facility,Yes,No,No, , , , , , , , , , , , , , , , , , , 
